taxID,superkingdom,phylum,class,order,family,genus,species
662,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Spe_in_Vibrio
1049758,Eukaryota,Euglenozoa,Euglenida,Euglenales,Euglenaceae,Euglenaria,Spe_in_Euglenaria
33034,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii
33652,Eukaryota,Phy_of_Bigyra,Bigyra,Bicosoecida,Cafeteriaceae,Cafeteria,Spe_in_Cafeteria
758,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Rodentibacter,Rodentibacter pneumotropicus
933,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Spe_in_Thiomicrospira
14,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum
655730,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Antarctoscyphus,Antarctoscyphus spiralis
66379,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Moraceae,Broussonetia,Spe_in_Broussonetia
33847,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Fam_in_Thalassiosirales,Gen_in_Thalassiosirales,Spe_in_Thalassiosirales
1152,Bacteria,Cyanobacteria,Cla_of_Pseudanabaenales,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Spe_in_Pseudanabaena
49,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Gen_in_Polyangiaceae,Spe_in_Polyangiaceae
1639348,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum sp. ME-1
285,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni
2163413,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia aff. pulcherrima
772,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Gen_in_Bartonellaceae,Spe_in_Bartonellaceae
1090,Bacteria,Chlorobi,Cla_in_Chlorobi,Ord_in_Chlorobi,Fam_in_Chlorobi,Gen_in_Chlorobi,Spe_in_Chlorobi
2589077,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Lachnaceae,Gen_in_Lachnaceae,Spe_in_Lachnaceae
1308,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
234,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Spe_in_Brucella
65741,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas knackmussii
1179815,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter sp. DFL14
715,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae
ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database
1203,Bacteria,Cyanobacteria,Cla_of_Nostocales,Nostocales,Scytonemataceae,Scytonema,Spe_in_Scytonema
2785331,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Entomomonas,Entomomonas sp. F2A
96,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Spe_in_Gallionella
1344552,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Spe_in_Noviherbaspirillum
1068,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodomicrobium,Spe_in_Rhodomicrobium
361106,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfoglaeba,Spe_in_Desulfoglaeba
569,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia,Hafnia alvei
976,Bacteria,Bacteroidetes,Cla_in_Bacteroidetes,Ord_in_Bacteroidetes,Fam_in_Bacteroidetes,Gen_in_Bacteroidetes,Spe_in_Bacteroidetes
1061,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter capsulatus
163877,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus necropolis
485,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
34072,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Spe_in_Variovorax
2818493,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter cellanae
33097,Eukaryota,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Gonium,Gonium pectorale
754249,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Fam_Micrococcales incertae sedis,Luteimicrobium,Spe_in_Luteimicrobium
1802340,Bacteria,Phy_in_Nitrospinae/Tectomicrobia group,Cla_in_Nitrospinae/Tectomicrobia group,Ord_in_Nitrospinae/Tectomicrobia group,Fam_in_Nitrospinae/Tectomicrobia group,Gen_in_Nitrospinae/Tectomicrobia group,Spe_in_Nitrospinae/Tectomicrobia group
720,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus lignieresii
1270,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
33851,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Fam_in_Bacillariales,Gen_in_Bacillariales,Spe_in_Bacillariales
943,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Spe_in_Ehrlichia
288,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica
193,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum
119,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis
586,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Spe_in_Providencia
180,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans
2162846,Bacteria,Actinobacteria,Actinomycetia,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Gen_in_Candidatus Nanopelagicaceae,Spe_in_Candidatus Nanopelagicaceae
637,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Spe_in_Arsenophonus
351,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Gen_in_Azotobacter group,Spe_in_Azotobacter group
246,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium balustinum
33208,Eukaryota,Phy_in_Metazoa,Cla_in_Metazoa,Ord_in_Metazoa,Fam_in_Metazoa,Gen_in_Metazoa,Spe_in_Metazoa
999,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Bernardetiaceae,Bernardetia,Bernardetia litoralis
488,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa
1246301,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus
33340,Eukaryota,Arthropoda,Insecta,Ord_in_Neoptera,Fam_in_Neoptera,Gen_in_Neoptera,Spe_in_Neoptera
1185,Bacteria,Cyanobacteria,Cla_of_Nostocales,Nostocales,Rivulariaceae,Gen_in_Rivulariaceae,Spe_in_Rivulariaceae
536,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium violaceum
379,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Spe_in_Rhizobium
113,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Spe_in_Gemmata
901,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger
1266,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,Spe_in_Sarcina
452,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella spiritensis
862,Bacteria,Firmicutes,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,Spe_in_Syntrophomonas
579,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Spe_in_Kluyvera
480,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella catarrhalis
107,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spe_in_Spirosoma
535,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Spe_in_Chromobacterium
33856,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Gen_in_Fragilariaceae,Spe_in_Fragilariaceae
87,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp.
2589076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus sp. AK26
33343,Eukaryota,Arthropoda,Insecta,Hemiptera,Fam_in_Prosorrhyncha,Gen_in_Prosorrhyncha,Spe_in_Prosorrhyncha
33836,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Ord_in_Coscinodiscophyceae,Fam_in_Coscinodiscophyceae,Gen_in_Coscinodiscophyceae,Spe_in_Coscinodiscophyceae
444,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Gen_in_Legionellaceae,Spe_in_Legionellaceae
33846,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Ord_in_Thalassiosirophycidae,Fam_in_Thalassiosirophycidae,Gen_in_Thalassiosirophycidae,Spe_in_Thalassiosirophycidae
541,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Spe_in_Zymomonas
953,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Spe_in_Wolbachia
39,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Gen_in_Archangiaceae,Spe_in_Archangiaceae
64,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Spe_in_Herpetosiphon
33674,Eukaryota,Phy_of_Bigyra,Bigyra,Thraustochytrida,Thraustochytriaceae,Gen_in_Thraustochytriaceae,Spe_in_Thraustochytriaceae
33634,Eukaryota,Phy_in_Stramenopiles,Cla_in_Stramenopiles,Ord_in_Stramenopiles,Fam_in_Stramenopiles,Gen_in_Stramenopiles,Spe_in_Stramenopiles
417,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylothermaceae,Gen_Methylothermaceae incertae sedis,Methylomonas clara
1737566,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. C1
622681,Bacteria,Actinobacteria,Actinomycetia,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Candidatus Planktophila,Spe_in_Candidatus Planktophila
2622240,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfocapsaceae,Desulfopila,Spe_in_unclassified Desulfopila
784,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia tsutsugamushi
897,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus multivorans
405,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus
507,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Spe_in_Alcaligenes
66782,Eukaryota,Gnathostomulida,Cla_of_Bursovaginoidea,Bursovaginoidea,Gnathostomulidae,Gnathostomula,Spe_in_Gnathostomula
573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
33385,Eukaryota,Arthropoda,Insecta,Hemiptera,Fam_in_Aphidoidea,Gen_in_Aphidoidea,Spe_in_Aphidoidea
66656,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Durio,Durio zibethinus
237,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Spe_in_Flavobacterium
131310,Eukaryota,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Parastrongyloides,Parastrongyloides trichosuri
33481,Eukaryota,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Liothyrella,Spe_in_Liothyrella
1084,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pararhodospirillum,Pararhodospirillum photometricum
65574,Eukaryota,Phy_of_Acantharea,Acantharea,Ord_in_Acantharea,Fam_in_Acantharea,Gen_in_Acantharea,Spe_in_Acantharea
762,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium,Avibacterium volantium
638,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus nasoniae
33877,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agromyces,Spe_in_Agromyces
721805,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Gen_in_Amygdaleae,Spe_in_Amygdaleae
1,spKin_in_root,Phy_in_root,Cla_in_root,Ord_in_root,Fam_in_root,Gen_in_root,Spe_in_root
2622653,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Spe_in_unclassified Brevundimonas
136,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Fam_in_Spirochaetales,Gen_in_Spirochaetales,Spe_in_Spirochaetales
506,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Gen_in_Alcaligenaceae,Spe_in_Alcaligenaceae
416,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Spe_in_Methylomonas
1197,Bacteria,Cyanobacteria,Cla_of_Nostocales,Nostocales,Rivulariaceae,Microchaete,Microchaete diplosiphon
33349,Eukaryota,Arthropoda,Insecta,Hemiptera,Fam_in_Neoheteroptera,Gen_in_Neoheteroptera,Spe_in_Neoheteroptera
380,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii
914,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Spe_in_Nitrosomonas
300,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina
1573718,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. S34
1279,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Spe_in_Staphylococcus
2785330,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Entomomonas,Spe_in_unclassified Entomomonas
120,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus limnophila
286,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Spe_in_Pseudomonas
1075,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Fuscovulum,Fuscovulum blasticum
381,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti
581,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Spe_in_Morganella
164860,Eukaryota,Arthropoda,Insecta,Diptera,Tephritidae,Gen_in_Dacinae,Spe_in_Dacinae
33989,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia amblyommatis
254,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indoltheticum
906,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Spe_in_Megasphaera
197563,Eukaryota,Arthropoda,Cla_in_Mandibulata,Ord_in_Mandibulata,Fam_in_Mandibulata,Gen_in_Mandibulata,Spe_in_Mandibulata
131079,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Spe_in_Limnobacter
2720871,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Spe_in_Aspergillus subgen. Circumdati
2622455,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivivens,Spe_in_unclassified Marivivens
373,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium vitis
