taxID,superkingdom,phylum,class,order,family,genus,species
66470,Eukaryota,Phy_of_Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Spe_in_Lepidodinium
33988,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Gen_in_Rickettsieae,Spe_in_Rickettsieae
1861,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus
1296,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri
722662,Eukaryota,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos fuscantarius
721162,Eukaryota,Arthropoda,Insecta,Lepidoptera,Drepanidae,Thyatira,Spe_in_Thyatira
1737405,Bacteria,Firmicutes,Tissierellia,Tissierellales,Fam_in_Tissierellales,Gen_in_Tissierellales,Spe_in_Tissierellales
978,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Spe_in_Cytophaga
728,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium,Avibacterium paragallinarum
65598,Eukaryota,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum
2654218,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas sp. TW-R-39-2
948,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma phagocytophilum
29,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Fam_in_Myxococcales,Gen_in_Myxococcales,Spe_in_Myxococcales
33926,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Spe_in_Candidatus Phytoplasma
1303,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis
67593,Eukaryota,Oomycota,Cla_of_Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora sojae
196818,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Spe_in_unclassified Shewanella
1654,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Spe_in_Actinomyces
1935183,Archaea,Phy_in_Asgard group,Cla_in_Asgard group,Ord_in_Asgard group,Fam_in_Asgard group,Gen_in_Asgard group,Spe_in_Asgard group
164882,Eukaryota,Arthropoda,Insecta,Diptera,Tephritidae,Gen_in_Carpomyina,Spe_in_Carpomyina
675,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cincinnatiensis
1398,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Weizmannia,Weizmannia coagulans
1810,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium vaccae
226,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Spe_in_Alteromonas
1704499,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylovulum,Methylovulum psychrotolerans
1162,Bacteria,Cyanobacteria,Cla_of_Nostocales,Nostocales,Nostocaceae,Gen_in_Nostocaceae,Spe_in_Nostocaceae
337,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia glumae
340,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris
571,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca
1212491,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella fallonii
99276,Bacteria,Candidatus Aminicenantes,Cla_of_environmental samples,Ord_of_environmental samples,Fam_of_environmental samples,Gen_environmental samples,Spe_in_environmental samples
33010,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium avidum
495,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata
548,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes
33392,Eukaryota,Arthropoda,Insecta,Ord_in_Endopterygota,Fam_in_Endopterygota,Gen_in_Endopterygota,Spe_in_Endopterygota
2623546,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Spe_in_unclassified Deinococcus
33090,Eukaryota,Phy_in_Viridiplantae,Cla_in_Viridiplantae,Ord_in_Viridiplantae,Fam_in_Viridiplantae,Gen_in_Viridiplantae,Spe_in_Viridiplantae
739,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis
2066474,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Gen_in_Endozoicomonadaceae,Spe_in_Endozoicomonadaceae
1312072,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. SA4-12
1792,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium chitae
662,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Spe_in_Vibrio
33652,Eukaryota,Phy_of_Bigyra,Bigyra,Bicosoecida,Cafeteriaceae,Cafeteria,Spe_in_Cafeteria
264009,Eukaryota,Chordata,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Spe_in_Microcaecilia
1738655,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Woeseiaceae,Woeseia,Spe_in_Woeseia
758,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Rodentibacter,Rodentibacter pneumotropicus
933,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Spe_in_Thiomicrospira
1357,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Spe_in_Lactococcus
33847,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Fam_in_Thalassiosirales,Gen_in_Thalassiosirales,Spe_in_Thalassiosirales
1152,Bacteria,Cyanobacteria,Cla_of_Pseudanabaenales,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Spe_in_Pseudanabaena
49,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Gen_in_Polyangiaceae,Spe_in_Polyangiaceae
394935,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium haemolyticum
285,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni
2163413,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia aff. pulcherrima
772,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Gen_in_Bartonellaceae,Spe_in_Bartonellaceae
1090,Bacteria,Chlorobi,Cla_in_Chlorobi,Ord_in_Chlorobi,Fam_in_Chlorobi,Gen_in_Chlorobi,Spe_in_Chlorobi
1308,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
234,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Spe_in_Brucella
196895,Viruses,Uroviricota,Caudoviricetes,Ord_of_Podoviridae,Podoviridae,Gen_unclassified Podoviridae,Spe_in_unclassified Podoviridae
65741,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas knackmussii
426355,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium radiotolerans
2194,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Gen_in_Methanomicrobiaceae,Spe_in_Methanomicrobiaceae
715,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae
ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database,ERROR: taxid not found in our database
2590776,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NIBRBAC000502773
2785331,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Entomomonas,Entomomonas sp. F2A
1068,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodomicrobium,Spe_in_Rhodomicrobium
1778,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium gordonae
2623691,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Fam_Hyphomicrobiales incertae sedis,Nordella,Spe_in_unclassified Nordella
2259,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Gen_in_Thermococcaceae,Spe_in_Thermococcaceae
486,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria lactamica
361106,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfoglaeba,Spe_in_Desulfoglaeba
1445,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus alcalophilus
1678,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Spe_in_Bifidobacterium
2066490,Bacteria,Proteobacteria,Alphaproteobacteria,Emcibacterales,Fam_in_Emcibacterales,Gen_in_Emcibacterales,Spe_in_Emcibacterales
33649,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
976,Bacteria,Bacteroidota,Cla_in_Bacteroidota,Ord_in_Bacteroidota,Fam_in_Bacteroidota,Gen_in_Bacteroidota,Spe_in_Bacteroidota
984996,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Mobilicoccus,Spe_in_Mobilicoccus
2654982,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia atlantica
163877,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus necropolis
1396,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
485,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
1760,Bacteria,Actinobacteria,Actinomycetia,Ord_in_Actinomycetia,Fam_in_Actinomycetia,Gen_in_Actinomycetia,Spe_in_Actinomycetia
34072,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Spe_in_Variovorax
391,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp.
2818493,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter cellanae
722731,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium shigaense
1802340,Bacteria,Phy_in_Nitrospinae/Tectomicrobia group,Cla_in_Nitrospinae/Tectomicrobia group,Ord_in_Nitrospinae/Tectomicrobia group,Fam_in_Nitrospinae/Tectomicrobia group,Gen_in_Nitrospinae/Tectomicrobia group,Spe_in_Nitrospinae/Tectomicrobia group
1270,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
33851,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Fam_in_Bacillariales,Gen_in_Bacillariales,Spe_in_Bacillariales
943,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Spe_in_Ehrlichia
288,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica
193,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum
1645,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Renibacterium,Spe_in_Renibacterium
2162846,Bacteria,Actinobacteria,Actinomycetia,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Gen_in_Candidatus Nanopelagicaceae,Spe_in_Candidatus Nanopelagicaceae
1375,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Spe_in_Aerococcus
586,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Spe_in_Providencia
1050624,Bacteria,Cyanobacteria,Cla_of_Synechococcales,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. A15-127
637,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Spe_in_Arsenophonus
426665,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Fam_in_Thalassionemales,Gen_in_Thalassionemales,Spe_in_Thalassionemales
133076,Eukaryota,Arthropoda,Insecta,Hemiptera,Aphididae,Gen_in_Aphidinae,Spe_in_Aphidinae
351,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Gen_in_Azotobacter group,Spe_in_Azotobacter group
2721544,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes sp. NBRC 14428
33208,Eukaryota,Phy_in_Metazoa,Cla_in_Metazoa,Ord_in_Metazoa,Fam_in_Metazoa,Gen_in_Metazoa,Spe_in_Metazoa
1115528,Eukaryota,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis,Gomphoneis minuta
33069,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas viridiflava
1854,Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Spe_in_Frankia
67475,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Spe_in_Haslea
33340,Eukaryota,Arthropoda,Insecta,Ord_in_Neoptera,Fam_in_Neoptera,Gen_in_Neoptera,Spe_in_Neoptera
2590777,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. NIBRBAC000502774
2182,Archaea,Euryarchaeota,Methanococci,Methanococcales,Fam_in_Methanococcales,Gen_in_Methanococcales,Spe_in_Methanococcales
379,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Spe_in_Rhizobium
1737359,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sp. 1D
1386,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Spe_in_Bacillus
1767,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare
1653,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Gen_in_Corynebacteriaceae,Spe_in_Corynebacteriaceae
34374,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Gen_in_Leptosphaeriaceae,Spe_in_Leptosphaeriaceae
2191,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Fam_in_Methanomicrobiales,Gen_in_Methanomicrobiales,Spe_in_Methanomicrobiales
452,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella spiritensis
722751,Eukaryota,Phy_of_Bolidophyceae,Bolidophyceae,Parmales,Triparmaceae,Gen_in_Triparmaceae,Spe_in_Triparmaceae
862,Bacteria,Firmicutes,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,Spe_in_Syntrophomonas
558537,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia lacustris
2820280,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Gen_in_Sphingosinicellaceae,Spe_in_Sphingosinicellaceae
480,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella catarrhalis
107,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spe_in_Spirosoma
438,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus
535,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Spe_in_Chromobacterium
33856,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Gen_in_Fragilariaceae,Spe_in_Fragilariaceae
87,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp.
2589076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus sp. AK26
33836,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Ord_in_Coscinodiscophyceae,Fam_in_Coscinodiscophyceae,Gen_in_Coscinodiscophyceae,Spe_in_Coscinodiscophyceae
444,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Gen_in_Legionellaceae,Spe_in_Legionellaceae
33846,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Ord_in_Thalassiosirophycidae,Fam_in_Thalassiosirophycidae,Gen_in_Thalassiosirophycidae,Spe_in_Thalassiosirophycidae
541,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Spe_in_Zymomonas
953,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Spe_in_Wolbachia
66969,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella waltersii
64,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Spe_in_Herpetosiphon
33634,Eukaryota,Phy_in_Stramenopiles,Cla_in_Stramenopiles,Ord_in_Stramenopiles,Fam_in_Stramenopiles,Gen_in_Stramenopiles,Spe_in_Stramenopiles
417,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylothermaceae,Gen_Methylothermaceae incertae sedis,Methylomonas clara
1737566,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. C1
622681,Bacteria,Actinobacteria,Actinomycetia,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Candidatus Planktophila,Spe_in_Candidatus Planktophila
2622240,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfocapsaceae,Desulfopila,Spe_in_unclassified Desulfopila
897,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus multivorans
1762,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Gen_in_Mycobacteriaceae,Spe_in_Mycobacteriaceae
507,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Spe_in_Alcaligenes
66782,Eukaryota,Gnathostomulida,Cla_of_Bursovaginoidea,Bursovaginoidea,Gnathostomulidae,Gnathostomula,Spe_in_Gnathostomula
33385,Eukaryota,Arthropoda,Insecta,Hemiptera,Fam_in_Aphidoidea,Gen_in_Aphidoidea,Spe_in_Aphidoidea
66656,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Durio,Durio zibethinus
67757,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gen_unclassified Pasteurellaceae,Spe_in_unclassified Pasteurellaceae
237,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Spe_in_Flavobacterium
657387,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria,Kushneria phosphatilytica
65574,Eukaryota,Phy_of_Acantharea,Acantharea,Ord_in_Acantharea,Fam_in_Acantharea,Gen_in_Acantharea,Spe_in_Acantharea
638,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus nasoniae
33877,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agromyces,Spe_in_Agromyces
721805,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Gen_in_Amygdaleae,Spe_in_Amygdaleae
558764,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Fam_in_Flustrina,Gen_in_Flustrina,Spe_in_Flustrina
2085,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Fam_in_Mycoplasmatales,Gen_in_Mycoplasmatales,Spe_in_Mycoplasmatales
1,spKin_in_root,Phy_in_root,Cla_in_root,Ord_in_root,Fam_in_root,Gen_in_root,Spe_in_root
754035,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium australicum
2622653,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Spe_in_unclassified Brevundimonas
136,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Fam_in_Spirochaetales,Gen_in_Spirochaetales,Spe_in_Spirochaetales
506,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Gen_in_Alcaligenaceae,Spe_in_Alcaligenaceae
416,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Spe_in_Methylomonas
34346,Eukaryota,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Fam_in_Schizosaccharomycetales,Gen_in_Schizosaccharomycetales,Spe_in_Schizosaccharomycetales
460517,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Komagataella,Spe_in_Komagataella
380,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii
914,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Spe_in_Nitrosomonas
300,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina
